anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1998,A,Brasil,6,3,2,0,1,6,3,3,Si
1998,A,Noruega,5,3,1,2,0,5,4,1,Si
1998,A,Marruecos,4,3,1,1,1,5,5,0,No
1998,A,Escocia,1,3,0,1,2,2,6,-4,No
1998,B,Italia,7,3,2,1,0,7,3,4,Si
1998,B,Chile,3,3,0,3,0,4,4,0,Si
1998,B,Austria,2,3,0,2,1,3,4,-1,No
1998,B,Camerún,2,3,0,2,1,2,5,-3,No
1998,C,Francia,9,3,3,0,0,9,1,8,Si
1998,C,Dinamarca,4,3,1,1,1,3,3,0,Si
1998,C,Sudáfrica,2,3,0,2,1,3,6,-3,No
1998,C,Arabia Saudita,1,3,0,1,2,2,7,-5,No
1998,D,Nigeria,6,3,2,0,1,5,5,0,Si
1998,D,Paraguay,5,3,1,2,0,3,1,2,Si
1998,D,España,4,3,1,1,1,8,4,4,No
1998,D,Bulgaria,1,3,0,1,2,1,7,-6,No
1998,E,Paises Bajos,5,3,1,2,0,7,2,5,Si
1998,E,México,5,3,1,2,0,7,5,2,Si
1998,E,Bélgica,3,3,0,3,0,3,3,0,No
1998,E,Corea del Sur,1,3,0,1,2,2,9,-7,No
1998,F,Alemania,7,3,2,1,0,6,2,4,Si
1998,F,RF de Yugoslavia,7,3,2,1,0,4,2,2,Si
1998,F,Irán,3,3,1,0,2,2,4,-2,No
1998,F,Estados Unidos,0,3,0,0,3,1,5,-4,No
1998,G,Rumania,7,3,2,1,0,4,2,2,Si
1998,G,Inglaterra,6,3,2,0,1,5,2,3,Si
1998,G,Colombia,3,3,1,0,2,1,3,-2,No
1998,G,Túnez,1,3,0,1,2,1,4,-3,No
1998,H,Argentina,9,3,3,0,0,7,0,7,Si
1998,H,Croacia,6,3,2,0,1,4,2,2,Si
1998,H,Jamaica,3,3,1,0,2,3,9,-6,No
1998,H,Japón,0,3,0,0,3,1,4,-3,No
